timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 04:05:33.306, 13 %, 7 %, 51.44 W, 1063 MHz
2020/12/31 04:05:34.309, 54 %, 31 %, 57.29 W, 1063 MHz
2020/12/31 04:05:35.311, 36 %, 15 %, 50.60 W, 1063 MHz
2020/12/31 04:05:36.314, 53 %, 22 %, 48.10 W, 1063 MHz
2020/12/31 04:05:37.317, 58 %, 31 %, 67.23 W, 1063 MHz
2020/12/31 04:05:38.320, 25 %, 8 %, 52.01 W, 1063 MHz
2020/12/31 04:05:39.322, 36 %, 13 %, 48.97 W, 1063 MHz
2020/12/31 04:05:40.325, 80 %, 44 %, 77.88 W, 1063 MHz
2020/12/31 04:05:41.328, 29 %, 8 %, 52.88 W, 1063 MHz
2020/12/31 04:05:42.330, 40 %, 11 %, 74.24 W, 1063 MHz
2020/12/31 04:05:43.333, 0 %, 0 %, 47.82 W, 1063 MHz
2020/12/31 04:05:44.336, 43 %, 9 %, 48.01 W, 1063 MHz
2020/12/31 04:05:45.339, 36 %, 8 %, 67.33 W, 1063 MHz
2020/12/31 04:05:46.342, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:05:47.345, 46 %, 13 %, 70.98 W, 1063 MHz
2020/12/31 04:05:48.348, 33 %, 10 %, 50.60 W, 1063 MHz
2020/12/31 04:05:49.353, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:05:50.356, 76 %, 36 %, 54.22 W, 1063 MHz
2020/12/31 04:05:51.359, 96 %, 44 %, 124.78 W, 1063 MHz
2020/12/31 04:05:52.362, 99 %, 71 %, 58.54 W, 1063 MHz
2020/12/31 04:05:53.364, 46 %, 22 %, 119.81 W, 1063 MHz
2020/12/31 04:05:54.367, 43 %, 18 %, 48.10 W, 1063 MHz
2020/12/31 04:05:55.370, 77 %, 51 %, 101.67 W, 1063 MHz
2020/12/31 04:05:56.371, 73 %, 41 %, 70.30 W, 1063 MHz
2020/12/31 04:05:57.373, 65 %, 36 %, 107.72 W, 1063 MHz
2020/12/31 04:05:58.376, 54 %, 40 %, 104.55 W, 1063 MHz
2020/12/31 04:05:59.379, 60 %, 31 %, 110.78 W, 1063 MHz
2020/12/31 04:06:00.382, 20 %, 8 %, 47.92 W, 1063 MHz
2020/12/31 04:06:01.384, 75 %, 53 %, 70.02 W, 1063 MHz
2020/12/31 04:06:02.387, 12 %, 6 %, 89.62 W, 1063 MHz
2020/12/31 04:06:03.390, 49 %, 23 %, 47.91 W, 1063 MHz
2020/12/31 04:06:04.392, 65 %, 42 %, 87.57 W, 1063 MHz
2020/12/31 04:06:05.394, 37 %, 16 %, 48.10 W, 1063 MHz
2020/12/31 04:06:06.397, 39 %, 17 %, 100.87 W, 1063 MHz
2020/12/31 04:06:07.400, 62 %, 44 %, 86.41 W, 1063 MHz
2020/12/31 04:06:08.403, 37 %, 11 %, 89.10 W, 1063 MHz
2020/12/31 04:06:09.405, 39 %, 12 %, 55.18 W, 1063 MHz
2020/12/31 04:06:10.408, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:06:11.411, 32 %, 9 %, 55.76 W, 1063 MHz
2020/12/31 04:06:12.414, 47 %, 16 %, 48.29 W, 1063 MHz
2020/12/31 04:06:13.416, 0 %, 0 %, 47.81 W, 1063 MHz
2020/12/31 04:06:14.419, 35 %, 12 %, 74.72 W, 1063 MHz
2020/12/31 04:06:15.425, 51 %, 16 %, 70.01 W, 1063 MHz
2020/12/31 04:06:16.428, 46 %, 15 %, 89.33 W, 1063 MHz
2020/12/31 04:06:17.430, 32 %, 10 %, 48.30 W, 1063 MHz
2020/12/31 04:06:18.433, 40 %, 12 %, 79.46 W, 1063 MHz
2020/12/31 04:06:19.436, 38 %, 11 %, 48.01 W, 1063 MHz
2020/12/31 04:06:20.438, 0 %, 0 %, 81.14 W, 1063 MHz
2020/12/31 04:06:21.441, 28 %, 9 %, 52.01 W, 1063 MHz
2020/12/31 04:06:22.444, 55 %, 17 %, 48.10 W, 1063 MHz
2020/12/31 04:06:23.447, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:06:24.449, 38 %, 13 %, 49.06 W, 1063 MHz
2020/12/31 04:06:25.452, 55 %, 17 %, 48.01 W, 1063 MHz
2020/12/31 04:06:26.455, 43 %, 13 %, 87.04 W, 1063 MHz
2020/12/31 04:06:27.458, 21 %, 6 %, 67.14 W, 1063 MHz
2020/12/31 04:06:28.459, 41 %, 12 %, 48.10 W, 1063 MHz
2020/12/31 04:06:29.461, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:06:30.464, 37 %, 11 %, 87.57 W, 1063 MHz
2020/12/31 04:06:31.467, 32 %, 10 %, 56.43 W, 1063 MHz
2020/12/31 04:06:32.468, 44 %, 15 %, 54.99 W, 1063 MHz
2020/12/31 04:06:33.472, 45 %, 13 %, 48.20 W, 1063 MHz
2020/12/31 04:06:34.475, 38 %, 11 %, 54.70 W, 1063 MHz
2020/12/31 04:06:35.477, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:06:36.481, 33 %, 11 %, 88.09 W, 1063 MHz
2020/12/31 04:06:37.484, 55 %, 17 %, 56.24 W, 1063 MHz
2020/12/31 04:06:38.490, 0 %, 0 %, 47.82 W, 1063 MHz
2020/12/31 04:06:39.492, 28 %, 9 %, 52.20 W, 1063 MHz
2020/12/31 04:06:40.495, 28 %, 9 %, 48.01 W, 1063 MHz
2020/12/31 04:06:41.498, 56 %, 18 %, 60.94 W, 1063 MHz
2020/12/31 04:06:42.501, 29 %, 9 %, 61.03 W, 1063 MHz
2020/12/31 04:06:43.503, 38 %, 13 %, 84.26 W, 1063 MHz
2020/12/31 04:06:44.506, 0 %, 0 %, 52.49 W, 1063 MHz
2020/12/31 04:06:45.509, 42 %, 13 %, 59.40 W, 1063 MHz
2020/12/31 04:06:46.511, 43 %, 13 %, 48.01 W, 1063 MHz
2020/12/31 04:06:47.514, 0 %, 0 %, 47.82 W, 1063 MHz
2020/12/31 04:06:48.517, 46 %, 15 %, 48.58 W, 1063 MHz
2020/12/31 04:06:49.520, 36 %, 10 %, 49.93 W, 1063 MHz
2020/12/31 04:06:50.522, 32 %, 9 %, 48.01 W, 1063 MHz
2020/12/31 04:06:51.525, 35 %, 10 %, 48.01 W, 1063 MHz
2020/12/31 04:06:52.528, 28 %, 9 %, 52.11 W, 1063 MHz
2020/12/31 04:06:53.531, 10 %, 2 %, 47.81 W, 1063 MHz
2020/12/31 04:06:54.533, 28 %, 9 %, 89.05 W, 1063 MHz
2020/12/31 04:06:55.536, 28 %, 9 %, 48.20 W, 1063 MHz
2020/12/31 04:06:56.539, 10 %, 2 %, 47.72 W, 1063 MHz
2020/12/31 04:06:57.542, 35 %, 12 %, 87.61 W, 1063 MHz
2020/12/31 04:06:58.545, 30 %, 10 %, 52.30 W, 1063 MHz
2020/12/31 04:06:59.547, 10 %, 2 %, 47.82 W, 1063 MHz
2020/12/31 04:07:00.550, 0 %, 0 %, 47.91 W, 1063 MHz
2020/12/31 04:07:01.556, 39 %, 12 %, 89.49 W, 1063 MHz
2020/12/31 04:07:02.558, 48 %, 14 %, 48.10 W, 1063 MHz
2020/12/31 04:07:03.561, 37 %, 11 %, 51.63 W, 1063 MHz
2020/12/31 04:07:04.564, 50 %, 15 %, 58.92 W, 1063 MHz
2020/12/31 04:07:05.566, 28 %, 9 %, 47.72 W, 1063 MHz
2020/12/31 04:07:06.567, 0 %, 0 %, 50.60 W, 1063 MHz
2020/12/31 04:07:07.570, 44 %, 13 %, 67.28 W, 1063 MHz
2020/12/31 04:07:08.573, 36 %, 12 %, 47.91 W, 1063 MHz
2020/12/31 04:07:09.575, 0 %, 0 %, 47.62 W, 1063 MHz
2020/12/31 04:07:10.578, 28 %, 9 %, 86.27 W, 1063 MHz
2020/12/31 04:07:11.581, 28 %, 9 %, 49.13 W, 1063 MHz
2020/12/31 04:07:12.584, 55 %, 17 %, 70.88 W, 1063 MHz
2020/12/31 04:07:13.587, 39 %, 13 %, 50.10 W, 1063 MHz
2020/12/31 04:07:14.589, 23 %, 7 %, 89.30 W, 1063 MHz
2020/12/31 04:07:15.592, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:07:16.595, 36 %, 10 %, 48.10 W, 1063 MHz
2020/12/31 04:07:17.598, 32 %, 9 %, 90.10 W, 1063 MHz
2020/12/31 04:07:18.600, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:07:19.603, 51 %, 17 %, 88.38 W, 1063 MHz
2020/12/31 04:07:20.604, 28 %, 9 %, 47.91 W, 1063 MHz
2020/12/31 04:07:21.607, 43 %, 13 %, 62.86 W, 1063 MHz
2020/12/31 04:07:22.610, 47 %, 14 %, 51.72 W, 1063 MHz
2020/12/31 04:07:23.612, 50 %, 16 %, 49.26 W, 1063 MHz
2020/12/31 04:07:24.615, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:07:25.618, 31 %, 9 %, 48.10 W, 1063 MHz
2020/12/31 04:07:26.621, 32 %, 11 %, 47.91 W, 1063 MHz
2020/12/31 04:07:27.624, 0 %, 0 %, 47.63 W, 1063 MHz
2020/12/31 04:07:28.626, 42 %, 14 %, 81.68 W, 1063 MHz
2020/12/31 04:07:29.627, 54 %, 17 %, 55.08 W, 1063 MHz
2020/12/31 04:07:30.630, 50 %, 17 %, 47.91 W, 1063 MHz
2020/12/31 04:07:31.633, 28 %, 9 %, 49.71 W, 1063 MHz
2020/12/31 04:07:32.635, 31 %, 10 %, 52.49 W, 1063 MHz
2020/12/31 04:07:33.638, 0 %, 0 %, 47.82 W, 1063 MHz
2020/12/31 04:07:34.641, 37 %, 11 %, 49.06 W, 1063 MHz
2020/12/31 04:07:35.644, 20 %, 7 %, 89.48 W, 1063 MHz
2020/12/31 04:07:36.646, 0 %, 0 %, 47.53 W, 1063 MHz
2020/12/31 04:07:37.649, 41 %, 14 %, 48.01 W, 1063 MHz
2020/12/31 04:07:38.652, 45 %, 15 %, 89.43 W, 1063 MHz
2020/12/31 04:07:39.655, 31 %, 9 %, 77.75 W, 1063 MHz
2020/12/31 04:07:40.658, 45 %, 13 %, 48.01 W, 1063 MHz
2020/12/31 04:07:41.661, 28 %, 9 %, 64.10 W, 1063 MHz
2020/12/31 04:07:42.663, 28 %, 9 %, 89.43 W, 1063 MHz
2020/12/31 04:07:43.666, 28 %, 9 %, 67.33 W, 1063 MHz
2020/12/31 04:07:44.669, 55 %, 18 %, 48.10 W, 1063 MHz
2020/12/31 04:07:45.672, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:07:46.674, 43 %, 14 %, 49.06 W, 1063 MHz
2020/12/31 04:07:47.677, 55 %, 17 %, 48.10 W, 1063 MHz
2020/12/31 04:07:48.680, 41 %, 12 %, 88.76 W, 1063 MHz
2020/12/31 04:07:49.683, 28 %, 9 %, 47.91 W, 1063 MHz
2020/12/31 04:07:50.685, 28 %, 9 %, 83.49 W, 1063 MHz
2020/12/31 04:07:51.686, 28 %, 9 %, 47.91 W, 1063 MHz
2020/12/31 04:07:52.689, 0 %, 0 %, 84.73 W, 1063 MHz
2020/12/31 04:07:53.692, 28 %, 9 %, 47.91 W, 1063 MHz
2020/12/31 04:07:54.694, 37 %, 11 %, 47.91 W, 1063 MHz
2020/12/31 04:07:55.697, 0 %, 0 %, 47.63 W, 1063 MHz
2020/12/31 04:07:56.700, 28 %, 9 %, 88.09 W, 1063 MHz
2020/12/31 04:07:57.703, 40 %, 14 %, 58.15 W, 1063 MHz
2020/12/31 04:07:58.705, 55 %, 17 %, 48.10 W, 1063 MHz
2020/12/31 04:07:59.708, 46 %, 13 %, 58.35 W, 1063 MHz
2020/12/31 04:08:00.711, 28 %, 9 %, 48.49 W, 1063 MHz
2020/12/31 04:08:01.714, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:08:02.717, 33 %, 10 %, 88.85 W, 1063 MHz
2020/12/31 04:08:03.720, 28 %, 9 %, 48.01 W, 1063 MHz
2020/12/31 04:08:04.722, 0 %, 0 %, 47.62 W, 1063 MHz
2020/12/31 04:08:05.725, 44 %, 15 %, 58.44 W, 1063 MHz
2020/12/31 04:08:06.730, 31 %, 10 %, 77.84 W, 1063 MHz
2020/12/31 04:08:07.733, 47 %, 14 %, 48.87 W, 1063 MHz
2020/12/31 04:08:08.736, 43 %, 13 %, 63.21 W, 1063 MHz
2020/12/31 04:08:09.738, 47 %, 16 %, 55.95 W, 1063 MHz
2020/12/31 04:08:10.741, 0 %, 0 %, 47.72 W, 1063 MHz
2020/12/31 04:08:11.742, 28 %, 9 %, 48.10 W, 1063 MHz
2020/12/31 04:08:12.745, 55 %, 17 %, 48.78 W, 1063 MHz
2020/12/31 04:08:13.748, 0 %, 0 %, 47.63 W, 1063 MHz
2020/12/31 04:08:14.751, 28 %, 9 %, 47.91 W, 1063 MHz
2020/12/31 04:08:15.753, 37 %, 11 %, 47.92 W, 1063 MHz
