timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 09:57:47.898, 34 %, 11 %, 54.70 W, 1063 MHz
2020/12/31 09:57:48.901, 43 %, 14 %, 47.91 W, 1063 MHz
2020/12/31 09:57:49.903, 50 %, 16 %, 54.99 W, 1063 MHz
2020/12/31 09:57:50.906, 46 %, 14 %, 53.55 W, 1063 MHz
2020/12/31 09:57:51.909, 26 %, 8 %, 81.19 W, 1063 MHz
2020/12/31 09:57:52.910, 0 %, 0 %, 47.24 W, 1063 MHz
2020/12/31 09:57:53.917, 65 %, 60 %, 107.03 W, 1063 MHz
2020/12/31 09:57:54.920, 77 %, 49 %, 113.64 W, 1063 MHz
2020/12/31 09:57:55.922, 100 %, 69 %, 116.85 W, 1063 MHz
2020/12/31 09:57:56.925, 99 %, 76 %, 56.91 W, 1063 MHz
2020/12/31 09:57:57.928, 74 %, 58 %, 126.70 W, 1063 MHz
2020/12/31 09:57:58.930, 97 %, 65 %, 117.19 W, 1063 MHz
2020/12/31 09:57:59.933, 65 %, 56 %, 107.51 W, 1063 MHz
2020/12/31 09:58:00.934, 100 %, 57 %, 111.74 W, 1063 MHz
2020/12/31 09:58:01.937, 97 %, 60 %, 108.01 W, 1063 MHz
2020/12/31 09:58:02.940, 0 %, 0 %, 47.53 W, 1063 MHz
2020/12/31 09:58:03.942, 100 %, 61 %, 117.18 W, 1063 MHz
2020/12/31 09:58:04.943, 0 %, 0 %, 47.53 W, 1063 MHz
2020/12/31 09:58:05.946, 100 %, 61 %, 120.09 W, 1063 MHz
2020/12/31 09:58:06.947, 0 %, 0 %, 47.62 W, 1063 MHz
2020/12/31 09:58:07.950, 77 %, 41 %, 110.39 W, 1063 MHz
2020/12/31 09:58:08.952, 69 %, 31 %, 48.01 W, 1063 MHz
2020/12/31 09:58:09.953, 59 %, 29 %, 47.81 W, 1063 MHz
2020/12/31 09:58:10.956, 63 %, 31 %, 47.91 W, 1063 MHz
